Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,29733,HESTHÁLS,,,,,,,364053.6,405317,,,,,,,J,,8,,,,,,,,,,,
,,,,29734,HESTHÁLS,,,,,,,364093.6,405316.8,,,,,,,J,,8,,,,,,,,,,,
,,,,29757,SAMTÚN,,,,,,,358579.7,407947.5,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29758,SAMTÚN,,,,,,,358606.8,407935.2,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29759,SAMTÚN,,,,,,,358639.4,407919.9,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29760,SAMTÚN,,,,,,,358671.8,407904.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29761,SAMTÚN,,,,,,,358704.4,407888.7,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29762,SAMTÚN,,,,,,,358736.8,407872.9,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29763,SAMTÚN,,,,,,,358769.7,407856.8,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29764,NJARÐARGATA,,,,,,,357547.3,407739.6,,,,,,,J,,4,,,,,,,,,,,
,,,,29765,NJARÐARGATA,,,,,,,357539.6,407730.1,,,,,,,J,,4,,,,,,,,,,,
,,,,29766,NJARÐARGATA,,,,,,,357532.7,407726.1,,,,,,,J,,4,,,,,,,,,,,
,,,,29767,NJARÐARGATA,,,,,,,357522.6,407720.7,,,,,,,J,,4,,,,,,,,,,,
,,,,29769,NJARÐARGATA,,,,,,,357497,407702.6,,,,,,,J,,4,,,,,,,,,,,
,,,,29770,NJARÐARGATA,,,,,,,357486.4,407686.5,,,,,,,J,,4,,,,,,,,,,,
,,,,29771,NJARÐARGATA,,,,,,,357480.8,407682.8,,,,,,,J,,4,,,,,,,,,,,
,,,,29772,NJARÐARGATA,,,,,,,357473.9,407694.8,,,,,,,J,,4,,,,,,,,,,,
,,,,29773,EIRÍKSGATA,,,,,,,357501.6,407636.4,,,,,,,J,,4,,,,,,,,,,,
,,,,29774,NJARÐARGATA,,,,,,,357448,407685.4,,,,,,,J,,4,,,,,,,,,,,
,,,,29775,EIRÍKSGATA,,,,,,,357543.2,407722.2,,,,,,,J,,4,,,,,,,,,,,
,,,,29776,EIRÍKSGATA,,,,,,,357529.7,407714.8,,,,,,,J,,4,,,,,,,,,,,
,,,,29778,EIRÍKSGATA,,,,,,,357497.8,407689.2,,,,,,,J,,4,,,,,,,,,,,
,,,,29779,NJARÐARGATA,,,,,,,357457.6,407678.8,,,,,,,J,,4,,,,,,,,,,,
,,,,29780,NJARÐARGATA,,,,,,,357468.6,407667.1,,,,,,,J,,4,,,,,,,,,,,
,,,,29781,NJARÐARGATA,,,,,,,357478.4,407674.5,,,,,,,J,,4,,,,,,,,,,,
,,,,29782,EIRÍKSGATA,,,,,,,357491.8,407675.5,,,,,,,J,,4,,,,,,,,,,,
,,,,29783,EIRÍKSGATA,,,,,,,357489.5,407661.4,,,,,,,J,,4,,,,,,,,,,,
,,,,29784,EIRÍKSGATA,,,,,,,357489.6,407640.3,,,,,,,J,,4,,,,,,,,,,,
,,,,29785,EIRÍKSGATA,,,,,,,357498.3,407611.1,,,,,,,J,,4,,,,,,,,,,,
,,,,29786,EIRÍKSGATA,,,,,,,357484.7,407624.7,,,,,,,J,,4,,,,,,,,,,,
,,,,29787,EIRÍKSGATA,,,,,,,357474,407642.9,,,,,,,J,,4,,,,,,,,,,,
,,,,29788,EIRÍKSGATA,,,,,,,357470.2,407650.1,,,,,,,J,,4,,,,,,,,,,,
,,,,29789,EIRÍKSGATA,,,,,,,357478.6,407654.8,,,,,,,J,,4,,,,,,,,,,,
,,,,29790,MÓAVEGUR,,,,,,,364145.8,408338.1,,,,,,,J,,8,,,,,,,,,,,
,,,,29791,ÁLFABORGIR,,,,,,,364195.1,408445,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29792,MELAVEGUR,,,,,,,364218.2,408795.9,,,,,,,J,,8,,,,,,,,,,,
,,,,29793,DOFRABORGIR,,,,,,,363828.7,408571.7,,,,,,,J,,5,,,,,,,,,,,
,,,,29794,DVERGABORGIR,,,,,,,363858.9,408467.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29795,DVERGABORGIR,,,,,,,363912.5,408476.8,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29796,DVERGABORGIR,,,,,,,363954.1,408518.7,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29797,GOÐABORGIR,,,,,,,363962,408561.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29798,GOÐABORGIR,,,,,,,364002.7,408591.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29799,TRÖLLABORGIR,,,,,,,364137.2,408791.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29800,TRÖLLABORGIR,,,,,,,364206.4,408789.1,,,,,,,J,,5,,,,,,,,,,,
,,,,29801,JÖTNABORGIR,,,,,,,364186.1,408734.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29803,KLUKKURIMI,,,,,,,364403.4,407726.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29804,LYNGRIMI,,,,,,,364292,407630.1,,,,,,,J,,5,,,,,,,,,,,
,,,,29805,LYNGRIMI,,,,,,,364313,407656.6,,,,,,,J,,5,,,,,,,,,,,
