WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.79704819 64.1165298)",437,Rofabær 27,-21.79704819,64.1165298,x
"POINT (-21.7896317 64.11547902)",438,Rofabær 39,-21.7896317,64.11547902,x
"POINT (-21.81072128 64.11663156)",439,Fagribær 12,-21.81072128,64.11663156,x
"POINT (-21.87784809 64.14061152)",440,Laugardalshöll,-21.87784809,64.14061152,x
"POINT (-21.8979434 64.13738479)",441,Skipholt 70,-21.8979434,64.13738479,x
"POINT (-21.88242675 64.12999426)",442,Heiðargerði 1a,-21.88242675,64.12999426,x
"POINT (-21.96286029 64.14764195)",443,Meistaravellir 10,-21.96286029,64.14764195,x
"POINT (-21.89474277 64.13915591)",444,Bolholt H.R,-21.89474277,64.13915591,x
"POINT (-21.80821773 64.10567846)",445,Hólaberg 74,-21.80821773,64.10567846,x
"POINT (-21.90225609 64.13060655)",446,Stigahlíð 50,-21.90225609,64.13060655,x
"POINT (-21.89675309 64.1399713)",447,Bolholt 4,-21.89675309,64.1399713,x
"POINT (-21.87072884 64.13054872)",448,Skeifan 13,-21.87072884,64.13054872,x
"POINT (-21.85328536 64.1382877)",450,Njörvasund 12,-21.85328536,64.1382877,x
"POINT (-21.85689456 64.14222633)",455,Skipasund 21,-21.85689456,64.14222633,x
"POINT (-21.8338139 64.1118283)",456,Fremristekkur 12,-21.8338139,64.1118283,x
"POINT (-21.839646 64.110145)",456_02,Brúnastekkur,-21.839646,64.110145,x
"POINT (-21.92788719 64.14741308)",463,Klapparstígur 7B,-21.92788719,64.14741308,x
"POINT (-21.82985021 64.1084249)",468,Eyjabakki 32,-21.82985021,64.1084249,x
"POINT (-21.87608405 64.12168961)",471,Efstaland 24,-21.87608405,64.12168961,x
"POINT (-21.87978989 64.11966199)",472,Brautarland 19,-21.87978989,64.11966199,x
"POINT (-21.88273191 64.12057707)",473,Brúnaland 1,-21.88273191,64.12057707,x
"POINT (-21.85302916 64.12885028)",476,Eikjuvogur 18,-21.85302916,64.12885028,x
"POINT (-21.82753777 64.13237552)",477,Sævarhöfði 31,-21.82753777,64.13237552,x
"POINT (-21.91418016 64.14391605)",478,Hverfisgata 113,-21.91418016,64.14391605,x
"POINT (-21.82780058 64.11524351)",479,Blesugróf H.R,-21.82780058,64.11524351,x
"POINT (-21.825714 64.11722544)",480,Félagsheimili RR,-21.825714,64.11722544,x
"POINT (-21.95146878 64.13913554)",483,Árnagarður,-21.95146878,64.13913554,x
"POINT (-21.83922364 64.10815494)",485,Tungubakki 34,-21.83922364,64.10815494,x
"POINT (-21.83226433 64.10573526)",487,Hjaltabakki,-21.83226433,64.10573526,x
"POINT (-21.78717184 64.11793031)",489,Tunguháls 2,-21.78717184,64.11793031,x
"POINT (-21.94050193 64.1598607)",490,Hólmaslóð 12,-21.94050193,64.1598607,x
"POINT (-21.82783317 64.10161351)",491,Þórufell 20a,-21.82783317,64.10161351,x
"POINT (-21.82499141 64.12935281)",492,Breiðhöfði 10,-21.82499141,64.12935281,x
"POINT (-21.83316506 64.11269018)",494,Stekkjarbakki H.R,-21.83316506,64.11269018,x
"POINT (-21.87260388 64.13248626)",495,Grensásvegur 3,-21.87260388,64.13248626,x
"POINT (-21.89611405 64.14212805)",496,Hátún 10,-21.89611405,64.14212805,x
"POINT (-21.86639002 64.12052954)",497,Hulduland 11a,-21.86639002,64.12052954,x
"POINT (-21.86833689 64.11916332)",498,Helluland 19,-21.86833689,64.11916332,x
"POINT (-21.92026125 64.13427027)",499,Skógarhlíð 10,-21.92026125,64.13427027,x
"POINT (-21.8535841 64.10007649)",500,Tindasel 3,-21.8535841,64.10007649,x
"POINT (-21.81715727 64.10954121)",501,Lóuhólar 6,-21.81715727,64.10954121,x
"POINT (-21.88213176 64.12454085)",502,Furugerði 5,-21.88213176,64.12454085,x
"POINT (-21.77098993 64.11956749)",504,Bullauga,-21.77098993,64.11956749,x
"POINT (-21.8429528 64.10211151)",505,Giljasel 12,-21.8429528,64.10211151,x
"POINT (-21.83573131 64.10071041)",508,Dalsel 9,-21.83573131,64.10071041,x
"POINT (-21.89200234 64.14588116)",511,Borgartún 38,-21.89200234,64.14588116,x
"POINT (-21.837841 64.094588)",515,Kleifarsel 26,-21.837841,64.094588,x
"POINT (-21.88025618 64.13828366)",518,Vegmúli 4,-21.88025618,64.13828366,x
"POINT (-21.81397927 64.10528999)",522,Hraunberg 6,-21.81397927,64.10528999,x
"POINT (-21.85739575 64.11877277)",535,Sævarland 20,-21.85739575,64.11877277,x
"POINT (-21.83156909 64.0978357)",537,Flúðasel 28,-21.83156909,64.0978357,x
"POINT (-21.81411083 64.12802654)",539,Hamarshöfði 15a,-21.81411083,64.12802654,x
"POINT (-21.84601482 64.14271502)",541,Holtavegur,-21.84601482,64.14271502,x
"POINT (-21.93645844 64.15553088)",542,Norðurgarður,-21.93645844,64.15553088,x
"POINT (-21.79882011 64.14841429)",548,Smárarimi,-21.79882011,64.14841429,x
"POINT (-21.80171567 64.14494603)",549,Rimaflöt 9,-21.80171567,64.14494603,x
"POINT (-21.80980005 64.10868889)",566,Orrahólar 7,-21.80980005,64.10868889,x
"POINT (-21.94145529 64.14874621)",568,Vesturgata 2,-21.94145529,64.14874621,x
"POINT (-21.80259455 64.14286954)",570,Bæjarflöt 8a,-21.80259455,64.14286954,x
"POINT (-21.845202 64.097679)",578,Rangársel 20,-21.845202,64.097679,x
"POINT (-21.98288323 64.15037208)",581,Öldugrandi 1,-21.98288323,64.15037208,x
"POINT (-21.94125868 64.15240372)",582,Ægisgarður,-21.94125868,64.15240372,x
"POINT (-21.89653599 64.13149744)",583,Kringlan 7,-21.89653599,64.13149744,x
"POINT (-21.79404842 64.12271022)",588,járnháls 4,-21.79404842,64.12271022,x
"POINT (-21.86876018 64.13879552)",590,Þvottalaugarvegur 25,-21.86876018,64.13879552,x
"POINT (-21.9605668 64.13694832)",591,Ægissíða 50,-21.9605668,64.13694832,x
"POINT (-21.84413672 64.14226644)",603,Holtabakki,-21.84413672,64.14226644,x
"POINT (-21.82097459 64.11514295)",605,Höfðabakkabrú,-21.82097459,64.11514295,x
"POINT (-21.82533949 64.12144045)",607,Silakvísl 8,-21.82533949,64.12144045,x
"POINT (-21.78581548 64.10980732)",608,Reykás 13,-21.78581548,64.10980732,x
"POINT (-21.83164797 64.24002772)",610,Esjugrund 40,-21.83164797,64.24002772,x
"POINT (-21.93188062 64.14852133)",615,Kalkofnsvegur 3,-21.93188062,64.14852133,x
"POINT (-21.78618996 64.10553992)",617,Selásbraut 103,-21.78618996,64.10553992,x
"POINT (-21.93174252 64.14653922)",619,Hverfisgata 20,-21.93174252,64.14653922,x
"POINT (-21.7893352 64.13355807)",621,Logafold 106a,-21.7893352,64.13355807,x
"POINT (-21.83971083 64.12342369)",622,Rafstöðvarvegur-Elliðaárbrú,-21.83971083,64.12342369,x
"POINT (-21.84737359 64.13906103)",623,Skútuvogur 4,-21.84737359,64.13906103,x
"POINT (-21.80366053 64.13538522)",628,Hverafold 30A,-21.80366053,64.13538522,x
"POINT (-21.8142877 64.12191361)",629,Nethylur 2a,-21.8142877,64.12191361,x
"POINT (-21.82608486 64.1310026)",630,Breiðhöfði 17,-21.82608486,64.1310026,x
"POINT (-21.76405649 64.13904389)",634,Keldnaholt,-21.76405649,64.13904389,x
"POINT (-21.89254418 64.12859675)",636,Hvassaleiti 54,-21.89254418,64.12859675,x
"POINT (-21.79746896 64.12561892)",640,Viðarhöfði 4,-21.79746896,64.12561892,x
"POINT (-21.8584844 64.15177329)",642,Korngarðar 12,-21.8584844,64.15177329,x
"POINT (-21.7943149 64.13668201)",644,Jöklafold 45,-21.7943149,64.13668201,x
"POINT (-21.86605079 64.12943045)",646,Faxafen 9,-21.86605079,64.12943045,x
"POINT (-21.8471099 64.10579153)",647,Árskógar 10,-21.8471099,64.10579153,x
"POINT (-21.79941259 64.12016046)",648,Réttarháls 1,-21.79941259,64.12016046,x
"POINT (-21.80259325 64.13829357)",650,Fannafold 113a,-21.80259325,64.13829357,x
"POINT (-21.95398241 64.1391525)",651,Hjarðarhagi 2,-21.95398241,64.1391525,x
"POINT (-21.79749157 64.13411844)",653,Logafold 4,-21.79749157,64.13411844,x
"POINT (-21.78065669 64.15297032)",658,Hamravík 14a,-21.78065669,64.15297032,x
"POINT (-21.81696062 64.13964884)",659,Hlaðhamrar 2A,-21.81696062,64.13964884,x
"POINT (-21.89035552 64.14173522)",660,Sigtún 40A,-21.89035552,64.14173522,x
"POINT (-21.847104 64.136217)",662,Skútuvogur 14,-21.847104,64.136217,x
"POINT (-21.81096182 64.13779118)",670,Dyrhamrar 30,-21.81096182,64.13779118,x
"POINT (-21.76347299 64.15381666)",674,Korpúlfsstaðavegur,-21.76347299,64.15381666,x
"POINT (-21.85241432 64.16287187)",678,Viðey,-21.85241432,64.16287187,x
"POINT (-21.95370814 64.13606775)",680,Eggertsgata,-21.95370814,64.13606775,x
"POINT (-21.77228616 64.13610992)",684,Miðhús 2A,-21.77228616,64.13610992,x
"POINT (-21.90641587 64.12747163)",688,Bústaðarvegur 7,-21.90641587,64.12747163,x
"POINT (-21.94440665 64.15630712)",693,Fiskislóð 53,-21.94440665,64.15630712,x
"POINT (-21.78519168 64.13857099)",695,Dalhús 25,-21.78519168,64.13857099,x
"POINT (-21.77762809 64.13883891)",696,Hlíðarhús 9,-21.77762809,64.13883891,x
"POINT (-21.75196583 64.14747639)",702,Blikastaðavegur 10,-21.75196583,64.14747639,x
"POINT (-21.89025584 64.12189568)",707,Borgarsjúkrahús,-21.89025584,64.12189568,x
"POINT (-21.8117 64.12882)",709,Stórhöfði 23,-21.8117,64.128820,x
"POINT (-21.93329559 64.14540699)",712,Hallveigarstígur 7,-21.93329559,64.14540699,x
"POINT (-21.94248836 64.14801803)",716,Aðalstræti 8,-21.94248836,64.14801803,x
"POINT (-21.799062 64.097076)",720,Breiðholtsbraut-brú,-21.799062,64.097076,x
"POINT (-21.9500368 64.13437572)",727,Skerplugata 1A,-21.9500368,64.13437572,x
"POINT (-21.77476691 64.15076451)",728,Starengi 22,-21.77476691,64.15076451,x
"POINT (-21.77071531 64.14485539)",733,Fossaleinir 13,-21.77071531,64.14485539,x
"POINT (-21.94074055 64.14944157)",736,Tryggvagata 17,-21.94074055,64.14944157,x
"POINT (-21.7512279 64.15664603)",737,Barðastaðir 1,-21.7512279,64.15664603,x
"POINT (-21.81567709 64.13205607)",771,Básabryggja 19,-21.81567709,64.13205607,x
"POINT (-21.69342768 64.18899846)",783,Fitjakot,-21.69342768,64.18899846,x
"POINT (-21.75859982 64.13612856)",787,Lambhagavegur 17A,-21.75859982,64.13612856,x
"POINT (-21.75249372 64.13322013)",788,Lambhagi Gróðrarstöð,-21.75249372,64.13322013,x
"POINT (-21.88626157 64.15158113)",789,Sæbraut. Laugarnestangi,-21.88626157,64.15158113,x
"POINT (-21.81872169 64.23671211)",793,Vallá,-21.81872169,64.23671211,x
"POINT (-21.83578999 64.24217018)",796,Norðurgrund,-21.83578999,64.24217018,x
"POINT (-21.91551642 64.12911104)",799,Öskjuhlíð II,-21.91551642,64.12911104,x
"POINT (-21.76394204 64.12667988)",800,Maríubaugur 125A,-21.76394204,64.12667988,x
"POINT (-21.76510814 64.12402014)",801,Ólafsgeisli 57a,-21.76510814,64.12402014,x
"POINT (-21.75451171 64.12659943)",803,Kirkjustétt 1A,-21.75451171,64.12659943,x
"POINT (-21.87336757 64.1554326)",808,Klettagarðar,-21.87336757,64.1554326,x
"POINT (-21.7068368 64.20102049)",810,Naustanes,-21.7068368,64.20102049,x
"POINT (-21.68045102 64.19300661)",813,Varmidalur III,-21.68045102,64.19300661,x
"POINT (-21.75042023 64.12452656)",841,Þorláksgeisli 41a,-21.75042023,64.12452656,x
"POINT (-21.74929495 64.12888002)",842,Jónsgeisli 6A,-21.74929495,64.12888002,x
"POINT (-21.74442723 64.12684542)",844,Þórðarsveigur 12A,-21.74442723,64.12684542,x
"POINT (-21.82061944 64.12914758)",845,Stórhöfði 9,-21.82061944,64.12914758,x
"POINT (-21.739487 64.126066)",861,Gvendargeisli 13A,-21.739487,64.126066,x
"POINT (-21.7627165 64.1303857)",862,Vínlandsleið 18,-21.7627165,64.1303857,x
"POINT (-21.90353985 64.13739539)",869,Stakkahlíð 1,-21.90353985,64.13739539,x
"POINT (-21.86741269 64.1426842)",884,Laugarásvegur 45,-21.86741269,64.1426842,x
